Year,States,Value,,
2010-11,New South Wales,1049.1,,
2010-11,Victoria,829.4,,
2010-11,Queensland,858.7,,
2010-11,Western Australia,702.7,,
2010-11,South Australia,246.4,,
2010-11,Tasmania,102.9,,
2010-11,Northern Territory,77.4,,
2011-12,New South Wales,1043.4,,
2011-12,Victoria,840.8,,
2011-12,Queensland,886.3,,
2011-12,Western Australia,744.4,,
2011-12,South Australia,247.2,,
2011-12,Tasmania,97.2,, 
2011-12,Northern Territory,75.2,,
2012-13,New South Wales,1034.6,,
2012-13,Victoria,843.6,,
2012-13,Queensland,932.2,,
2012-13,Western Australia,783.2,,
2012-13,South Australia,245.1,,
2012-13,Tasmania,101.9,,
2012-13,Northern Territory,78,,
2013-14,New South Wales,1029.2,,
2013-14,Victoria,825.5,,
2013-14,Queensland,944.3,,
2013-14,Western Australia,825.3,,
2013-14,South Australia,241.4,,
2013-14,Tasmania,100.9,,
2013-14,Northern Territory,76.2,,
2014-15,New South Wales,1031.6,,
2014-15,Victoria,841.5,,
2014-15,Queensland,967,,
2014-15,Western Australia,805.2,,
2014-15,South Australia,236.9,,
2014-15,Tasmania,101.2,,
2014-15,Northern Territory,58.7,,
2015-16,New South Wales,1035.6,,
2015-16,Victoria,830.6,,
2015-16,Queensland,1028.1,,
2015-16,Western Australia,823.7,,
2015-16,South Australia,235.3,,
2015-16,Tasmania,98.9,,
2015-16,Northern Territory,59.9,,
2016-17,New South Wales,1051.3,,
2016-17,Victoria,822,,
2016-17,Queensland,1076.9,,
2016-17,Western Australia,885.7,,
2016-17,South Australia,233.7,,
2016-17,Tasmania,99.6,,
2016-17,Northern Territory,58.7,,
2017-18,New South Wales,1078.8,,
2017-18,Victoria,832.6,,
2017-18,Queensland,1093.2,,
2017-18,Western Australia,927.6,,
2017-18,South Australia,235.6,,
2017-18,Tasmania,102.1,,
2017-18,Northern Territory,62.3,,
2018-19,New South Wales,1072.8,,
2018-19,Victoria,840.4,,
2018-19,Queensland,1082.5,,
2018-19,Western Australia,952.9,,
2018-19,South Australia,230.3,,
2018-19,Tasmania,101.7,,
2018-19,Northern Territory,97.1,,
2019-20,New South Wales,1011.5,,
2019-20,Victoria,798.6,,
2019-20,Queensland,1052.8,,
2019-20,Western Australia,948.4,,
2019-20,South Australia,224.6,,
2019-20,Tasmania,95.7,,
2019-20,Northern Territory,111.5,,
2020-21,New South Wales,958.7,,
2020-21,Victoria,733.6,,
2020-21,Queensland,1036.6,,
2020-21,Western Australia,960.8,,
2020-21,South Australia,222.6,,
2020-21,Tasmania,98.7,,
2020-21,Northern Territory,110.9,,
